"Name","Genre","Publisher","total_sales","exclusive","NA_Sales_prop","EU_Sales_prop","JP_Sales_prop","Other_Sales_prop"
"Air Combat","Simulation","Sony Computer Entertainment",1.83,"yes",0.502732240437158,0.180327868852459,0.284153005464481,0.0273224043715847
"Air Conflicts: Aces of World War II","Simulation","Graffiti",0.05,"yes",1,0,0,0
"Air Conflicts: Secret Wars","Simulation","bitComposer Games",0.3,"no",0.533333333333333,0.333333333333333,0,0.166666666666667
"Air Raid","Action","Men-A-Vision",0.77,"yes",0.935064935064935,0.0519480519480519,0,0.012987012987013
"Air Traffic Chaos","Simulation","Ertain",0.05,"yes",1,0,0,0
"Air-Sea Battle","Shooter","Atari",0.98,"yes",0.928571428571429,0.0612244897959184,0,0.0102040816326531
"AirForce Delta Storm","Shooter","Konami Digital Entertainment",0.2,"no",0.8,0.25,0,0.05
"AirForce Delta Strike","Simulation","Konami Digital Entertainment",0.11,"yes",0.454545454545455,0.363636363636364,0,0.0909090909090909
"Airblade","Sports","Sony Computer Entertainment",0.23,"yes",0.478260869565217,0.391304347826087,0,0.130434782608696
"Airborne Troops: Countdown to D-Day","Shooter","Playlogic Game Factory",0.12,"yes",0.5,0.416666666666667,0,0.166666666666667
"Airline Tycoon","Simulation","Interplay",0.02,"yes",0,0.5,0,0
"Airline Tycoon 2","Simulation","Kalypso Media",0.05,"yes",0,0.8,0,0.2
"Airlock","Action","Data Age",0.39,"yes",0.923076923076923,0.0512820512820513,0,0
"Airport Simulator","Simulation","Unknown",0.02,"yes",0,1,0,0
"Airship Q","Platform","Cygames",0.03,"yes",0,0,1,0
"Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin","Adventure","Marvelous Interactive",0.06,"yes",0,0,1,0
"Akai Ito DS","Adventure","Alchemist",0.02,"yes",0,0,1,0
"Akai Katana Shin","Shooter","Cave",0.06,"yes",0.666666666666667,0,0.166666666666667,0
"Akane Iro ni Somaru Saka Parallel","Adventure","GN Software",0.03,"yes",0,0,1,0
"Akatsuki no Amaneka to Aoi Kyojin","Strategy","CyberFront",0.01,"yes",0,0,1,0
"Akatsuki no Goei Trinity","Adventure","5pb",0.02,"no",0,0,1,0
"Akiba's Trip","Adventure","Acquire",0.14,"yes",0,0,1,0
"Akiba's Trip Plus","Adventure","Acquire",0.08,"yes",0,0,1,0
"Akiba's Trip: Undead & Undressed","Action","Acquire",0.11,"yes",0.727272727272727,0,0.0909090909090909,0.181818181818182
"Akiba's Trip: Undead & Undressed","Action","Nippon Ichi Software",0.32,"no",0.4375,0.09375,0.375,0.125
"Akko ni Omakase! Brain Shock","Misc","Taito",0.04,"yes",0,0,1,0
"Akuji the Heartless","Platform","Eidos Interactive",0.12,"yes",0.583333333333333,0.333333333333333,0,0.0833333333333333
